ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-03-11 11:00:00,16430.825873220216,13850.585859552724,18092.302421490233,16430.825873220216,16430.825873220216,-463.13529404689496,-463.13529404689496,-463.13529404689496,-1029.3572398393694,-1029.3572398393694,-1029.3572398393694,566.2219457924743,566.2219457924743,566.2219457924743,0.0,0.0,0.0,15967.69057917332
2026-03-11 12:00:00,16428.092538134915,14333.645473553359,18835.725969277886,16428.092538134915,16428.092538134915,189.61614968970838,189.61614968970838,189.61614968970838,-379.44611013973133,-379.44611013973133,-379.44611013973133,569.0622598294397,569.0622598294397,569.0622598294397,0.0,0.0,0.0,16617.708687824623
2026-03-11 13:00:00,16425.359203049615,14677.71269431716,19199.76569886783,16425.359203049615,16425.359203049615,599.1843789193656,599.1843789193656,599.1843789193656,29.361052111462868,29.361052111462868,29.361052111462868,569.8233268079026,569.8233268079026,569.8233268079026,0.0,0.0,0.0,17024.54358196898
2026-03-11 14:00:00,16422.62586796431,14937.463645315185,19278.92405237646,16422.62586796431,16422.62586796431,698.667424377142,698.667424377142,698.667424377142,130.1550585699967,130.1550585699967,130.1550585699967,568.5123658071453,568.5123658071453,568.5123658071453,0.0,0.0,0.0,17121.293292341452
2026-03-11 15:00:00,16419.89253287901,14988.19861552691,19246.961461447783,16419.89253287901,16419.89253287901,592.0273530724863,592.0273530724863,592.0273530724863,26.8666082509334,26.8666082509334,26.8666082509334,565.160744821553,565.160744821553,565.160744821553,0.0,0.0,0.0,17011.919885951498
2026-03-11 16:00:00,16417.15919779371,14551.68791699808,19005.61210349376,16417.15919779371,16417.15919779371,443.00012771096556,443.00012771096556,443.00012771096556,-116.82359361885692,-116.82359361885692,-116.82359361885692,559.8237213298223,559.8237213298223,559.8237213298223,0.0,0.0,0.0,16860.159325504676
2026-03-11 17:00:00,16414.425862708405,14689.830549566095,18836.472644351554,16414.425862708405,16414.425862708405,359.3458152317066,359.3458152317066,359.3458152317066,-193.23403964495742,-193.23403964495742,-193.23403964495742,552.5798548766641,552.5798548766641,552.5798548766641,0.0,0.0,0.0,16773.771677940113
2026-03-11 18:00:00,16411.692527623105,14556.247372947266,18789.31120430511,16411.692527623105,16411.692527623105,372.489713490308,372.489713490308,372.489713490308,-171.0403847084353,-171.0403847084353,-171.0403847084353,543.5300981987432,543.5300981987432,543.5300981987432,0.0,0.0,0.0,16784.182241113413
2026-03-11 19:00:00,16408.959192537804,14854.28251641241,19113.762498291104,16408.959192537804,16408.959192537804,501.78348010378323,501.78348010378323,501.78348010378323,-31.013097585432956,-31.013097585432956,-31.013097585432956,532.796577689216,532.796577689216,532.796577689216,0.0,0.0,0.0,16910.742672641587
2026-03-11 20:00:00,16406.2258574525,15258.105238784767,19420.78970736161,16406.2258574525,16406.2258574525,802.8602530762149,802.8602530762149,802.8602530762149,282.3391749732593,282.3391749732593,282.3391749732593,520.5210781029556,520.5210781029556,520.5210781029556,0.0,0.0,0.0,17209.086110528715
2026-03-11 21:00:00,16403.4925223672,15605.830316731306,19879.44779928492,16403.4925223672,16403.4925223672,1323.6771749872637,1323.6771749872637,1323.6771749872637,816.813924640966,816.813924640966,816.813924640966,506.8632503462979,506.8632503462979,506.8632503462979,0.0,0.0,0.0,17727.169697354464
2026-03-11 22:00:00,16400.759187281896,16311.286461409038,20523.91919424033,16400.759187281896,16400.759187281896,2003.2398896872248,2003.2398896872248,2003.2398896872248,1511.2413247646914,1511.2413247646914,1511.2413247646914,491.99856492253394,491.99856492253394,491.99856492253394,0.0,0.0,0.0,18403.99907696912
2026-03-11 23:00:00,16398.025852196595,16863.426798199464,21204.66134519845,16398.025852196595,16398.025852196595,2628.0981265518894,2628.0981265518894,2628.0981265518894,2151.9820895817024,2151.9820895817024,2151.9820895817024,476.11603697018637,476.11603697018637,476.11603697018637,0.0,0.0,0.0,19026.123978748485
2026-03-12 00:00:00,16395.29251711129,17126.749371754053,21463.169941261367,16395.29251711129,16395.29251711129,2921.612355259525,2921.612355259525,2921.612355259525,2462.196603296102,2462.196603296102,2462.196603296102,459.4157519634234,459.4157519634234,459.4157519634234,0.0,0.0,0.0,19316.904872370815
2026-03-12 01:00:00,16392.55918202599,16948.376410145032,21411.750964033625,16392.55918202599,16392.55918202599,2714.321611581876,2714.321611581876,2714.321611581876,2272.2153877072333,2272.2153877072333,2272.2153877072333,442.10622387464304,442.10622387464304,442.10622387464304,0.0,0.0,0.0,19106.880793607867
2026-03-12 02:00:00,16389.82584694069,16322.476493538628,20591.405541362372,16389.82584694069,16389.82584694069,2055.694936862703,2055.694936862703,2055.694936862703,1631.2933170002568,1631.2933170002568,1631.2933170002568,424.40161986244624,424.40161986244624,424.40161986244624,0.0,0.0,0.0,18445.520783803393
2026-03-12 03:00:00,16387.092511855386,15379.691576819861,19621.93442165875,16387.092511855386,16387.092511855386,1169.9738421889278,1169.9738421889278,1169.9738421889278,763.4549547058025,763.4549547058025,763.4549547058025,406.5188874831254,406.5188874831254,406.5188874831254,0.0,0.0,0.0,17557.066354044313
2026-03-12 04:00:00,16384.359176770085,14456.619233230367,18749.95282677886,16384.359176770085,16384.359176770085,296.1555252892407,296.1555252892407,296.1555252892407,-92.51929656986188,-92.51929656986188,-92.51929656986188,388.6748218591025,388.6748218591025,388.6748218591025,0.0,0.0,0.0,16680.514702059325
2026-03-12 05:00:00,16381.625841684785,13891.16074706858,18086.499771645147,16381.625841684785,16381.625841684785,-446.34847152989516,-446.34847152989516,-446.34847152989516,-817.431582646868,-817.431582646868,-817.431582646868,371.08311111697293,371.08311111697293,371.08311111697293,0.0,0.0,0.0,15935.27737015489
2026-03-12 06:00:00,16378.89250659948,13093.997233189755,17318.914290492146,16378.89250659948,16378.89250659948,-1057.1694549486858,-1057.1694549486858,-1057.1694549486858,-1411.1208538870706,-1411.1208538870706,-1411.1208538870706,353.95139893838467,353.95139893838467,353.95139893838467,0.0,0.0,0.0,15321.723051650795
2026-03-12 07:00:00,16376.15917151418,12762.735811354929,17071.284744420755,16376.15917151418,16376.15917151418,-1544.4549121427801,-1544.4549121427801,-1544.4549121427801,-1881.9333151412643,-1881.9333151412643,-1881.9333151412643,337.4784029984841,337.4784029984841,337.4784029984841,0.0,0.0,0.0,14831.7042593714
